Name,CellLine,Dose,Rep,Duration,RepL,DataSet
M23_BT20_DEG_10nM,BT20,10,1,16,A,M23
M23_BT20_DEG_1nM,BT20,1,1,16,A,M23
M15_BT474_2H_DEG,BT474,1,2,2,B,M15
M15_BT474_4H_DEG,BT474,1,2,4,B,M15
M16_BT474_DEG,BT474,1,3,6,B,M16
M15_BT474_8H_DEG,BT474,1,2,8,B,M15
M15_BT474_12H_DEG,BT474,1,2,12,B,M15
M23_BT474_DEG_10nM,BT474,10,1,16,A,M23
M23_BT474_DEG_1nM,BT474,1,1,16,A,M23
M15_BT474_24H_DEG,BT474,1,2,24,B,M15
M17_BT474_DEG,BT474,10,2,24,B,M17
M23_BT483_DEG_10nM,BT483,10,1,16,A,M23
M23_BT483_DEG_1nM,BT483,1,1,16,A,M23
M23_CAMA1_DEG_10nM,CAMA1,10,1,16,A,M23
M23_CAMA1_DEG_1nM,CAMA1,1,1,16,A,M23
M23_HCC1428_DEG_10nM,HCC1428,10,1,16,A,M23
M23_HCC1428_DEG_1nM,HCC1428,1,1,16,A,M23
M2_1h_DEG,MCF7,10,2,1,B,M2
M2_2h_DEG,MCF7,10,2,2,B,M2
M1_3h_DEG,MCF7,10,3,3,B,M1
M14_MCF7_DEG,MCF7,1000,1,3,A,M14
M2_3h_DEG,MCF7,10,2,3,B,M2
M4_DEG,MCF7,10,3,4,B,M4
M16_MCF7_DEG,MCF7,1,3,6,B,M16
M2_6h_DEG,MCF7,10,2,6,B,M2
M6_DEG,MCF7,10,3,6,B,M6
M2_12h_DEG,MCF7,10,2,12,B,M2
M8_12_DEG,MCF7,10,3,12,B,M8
M23_MCF7_DEG_10nM,MCF7,10,1,16,A,M23
M23_MCF7_DEG_1nM,MCF7,1,1,16,A,M23
M1_24h_DEG,MCF7,10,3,24,B,M1
M17_MCF7_DEG,MCF7,10,2,24,B,M17
M2_24h_DEG,MCF7,10,2,24,B,M2
M8_24_DEG,MCF7,10,3,24,B,M8
M2_48h_DEG,MCF7,10,2,48,B,M2
M8_48_DEG,MCF7,10,3,48,B,M8
M22_MM134_3H_DEG,MM134,1,4,3,B,M22
M23_MM134_DEG_10nM,MM134,10,1,16,A,M23
M23_MM134_DEG_1nM,MM134,1,1,16,A,M23
M22_MM134_24H_DEG,MM134,1,4,24,B,M22
M23_MM157_DEG_10nM,MM157,10,1,16,A,M23
M23_MM157_DEG_1nM,MM157,1,1,16,A,M23
M23_MM175_DEG_10nM,MM175,10,1,16,A,M23
M23_MM175_DEG_1nM,MM175,1,1,16,A,M23
M14_MM231_DEG,MM231,1000,1,3,A,M14
M24_MM231_DEG,MM231,1000,1,3,A,M24
M23_MM361_DEG_10nM,MM361,10,1,16,A,M23
M23_MM361_DEG_1nM,MM361,1,1,16,A,M23
M23_MM415_DEG_10nM,MM415,10,1,16,A,M23
M23_MM415_DEG_1nM,MM415,1,1,16,A,M23
M14_SKBR3_DEG,SKBR3,1000,1,3,A,M14
M22_SUM44_3H_DEG,SUM44,1,4,3,B,M22
M22_SUM44_24H_DEG,SUM44,1,4,24,B,M22
M16_SUM52_DEG,SUM52PE,1,3,6,B,M16
M15_T47D_1H_DEG,T47D,1,2,1,B,M15
M15_T47D_2H_DEG,T47D,1,2,2,B,M15
M14_T47D_DEG,T47D,1000,1,3,A,M14
M24_T47D_DEG,T47D,1000,1,3,A,M24
M15_T47D_4H_DEG,T47D,1,2,4,B,M15
M16_T47D_DEG,T47D,1,3,6,B,M16
M15_T47D_8H_DEG,T47D,1,2,8,B,M15
M15_T47D_12H_DEG,T47D,1,2,12,B,M15
M23_T47D_DEG_10nM,T47D,10,1,16,A,M23
M23_T47D_DEG_1nM,T47D,1,1,16,A,M23
M15_T47D_24H_DEG,T47D,1,2,24,B,M15
M17_T47D_DEG,T47D,10,2,24,B,M17
M16_ZR75_DEG,ZR75-1,1,3,6,B,M16
